Error_NR Error_NR_EX
3.50374565089531e-07 8.43676102281959e-10
3.52304137577093e-07 7.49375027064407e-10
3.53170700739107e-07 6.605773929341e-10
3.52974910095569e-07 5.77352650938291e-10
3.51720231381501e-07 4.99776508393883e-10
3.49413333832178e-07 4.27942048698175e-10
3.46064475362859e-07 3.61979332493114e-10
3.41687870785439e-07 3.02088034351096e-10
3.36302035949311e-07 2.48593117507045e-10
3.29930100059933e-07 2.02037683026103e-10
3.22600077971083e-07 1.63317216729724e-10
3.14345092959704e-07 1.33780704412081e-10
3.05203546251251e-07 1.14953522194244e-10
2.95219220840824e-07 1.07333320354976e-10
2.84441310724185e-07 1.08999550349166e-10
2.72924381259367e-07 1.16275368911546e-10
2.60728238134809e-07 1.25738658299383e-10
2.47917717970255e-07 1.35131779615557e-10
2.34562384279437e-07 1.43190876090475e-10
2.20736139082321e-07 1.49271229525131e-10
2.06516750290154e-07 1.53082278861345e-10
1.91985290973633e-07 1.54536847870231e-10
1.77225511805533e-07 1.53668190167164e-10
1.62323142109999e-07 1.50585032514688e-10
1.47365145606204e-07 1.45446907411864e-10
1.32438939931384e-07 1.38450835940784e-10
1.17631608030077e-07 1.29826273856032e-10
1.03029143004354e-07 1.19837380259141e-10
8.87157822551325e-08 1.08792504613929e-10
7.47735586119569e-08 9.70684989634478e-11
6.12823509649172e-08 8.5156683458176e-11
4.83212126177417e-08 7.37480375416104e-11
3.59735810895348e-08 6.38657828577823e-11
2.43477927271019e-08 5.69677589083493e-11
1.36893349909805e-08 5.46716222914294e-11
5.6682662699659e-09 5.77740498031952e-11
8.98340964159199e-09 6.55598606562855e-11
1.69577994127536e-08 7.65226160873956e-11
2.46810179393976e-08 8.93230842508582e-11
3.17003271416973e-08 1.03049741379122e-10
3.79232587739649e-08 1.17121754141431e-10
4.33220637146964e-08 1.31162839457114e-10
4.78917071561341e-08 1.44919335034776e-10
5.16393777339235e-08 1.58213553419875e-10
5.45807237517077e-08 1.70917707375868e-10
5.67379989356481e-08 1.82939388529578e-10
5.81388781324813e-08 1.94212519659607e-10
5.88155232397613e-08 2.04692180593376e-10
5.88037629038989e-08 2.14350684071415e-10
5.81423372070461e-08 2.23175202132456e-10
5.68721798121214e-08 2.31165949791909e-10
5.50357380913211e-08 2.38334447412445e-10
5.2676334007407e-08 2.44702536166861e-10
4.98375651998264e-08 2.50301060440039e-10
4.65627570824208e-08 2.55169187124737e-10
4.28944635762228e-08 2.59353259174309e-10
3.8874033592266e-08 2.62906136302225e-10
3.45412497137168e-08 2.6588638994841e-10
2.99340723841575e-08 2.68357713013126e-10
2.50885582477326e-08 2.70388097985433e-10
2.00391989945132e-08 2.72049484743031e-10
1.48205788830978e-08 2.73416916184262e-10
9.47554358796963e-09 2.74568247967391e-10
4.13029097517492e-09 2.75583745734444e-10
2.36893572643835e-09 2.76545397365951e-10
7.66541931554181e-09 2.77536852624625e-10
1.33832119162496e-08 2.78642909106047e-10
1.92015139651017e-08 2.79949390095886e-10
2.50817115023585e-08 2.81542710852119e-10
3.10081683817359e-08 2.83509903267761e-10
3.69713604536749e-08 2.85938409540817e-10
4.29644047492974e-08 2.88915913937643e-10
4.89817367879576e-08 2.92530299778449e-10
5.50182933841623e-08 2.9686972018669e-10
6.10688433174469e-08 3.02022434591704e-10
6.71273622642428e-08 3.08076968392617e-10
7.31864257453868e-08 3.15121942418735e-10
7.92366134041773e-08 3.23246274747535e-10
8.52659266707435e-08 3.32539060463116e-10
9.12592273348959e-08 3.43089396667359e-10
9.71977002486822e-08 3.54986431780376e-10
1.03058349051796e-07 3.68319063566521e-10
1.08813524015384e-07 3.83175640723902e-10
1.14430496481165e-07 3.99643648600468e-10
1.1987106554909e-07 4.17809073771669e-10
1.25091220672762e-07 4.37755963671449e-10
1.30040844471157e-07 4.59565574204087e-10
1.3466347142368e-07 4.83315600200197e-10
